"""uuid""","""name""","""id"""
"""820f1838-aed8-4400-b0f6-031e258f3502""","""House Poole""","""/wiki/House_Poole"""
"""d9e8e2be-3fe2-48ea-8d12-ab3139be7bd7""","""House of Pahl""","""/wiki/House_of_Pahl"""
"""9e380c63-f4ff-4e75-b713-6213c3d6deaf""","""House Mormont""","""/wiki/House_Mormont"""
"""7c0c132d-2c67-4f33-8660-859f410bcce6""","""House of Qaggaz""","""/wiki/House_of_Qaggaz"""
"""42b89fb6-9e27-4270-a09b-49eee3dcf766""","""House Cassel""","""/wiki/House_Cassel"""
"""83d612be-b165-4318-9d90-c0f88b895a92""","""House Bracken""","""/wiki/House_Bracken"""
"""a97c91c1-674d-4a36-a9b6-67c29d8d9a2f""","""House Gardener""","""/wiki/House_Gardener"""
"""3c4a86bc-0805-4898-8e2d-f645b4bd11c3""","""House Mallister""","""/wiki/House_Mallister"""
"""57a3b9da-79e9-48b5-bd63-9bc171ea583b""","""House Arryn""","""/wiki/House_Arryn"""
"""f4c0e29d-9d46-4ec4-a144-378543ab9f2b""","""House Bulwer""","""/wiki/House_Bulwer"""
"""378e2597-cd00-4004-95c0-7c6803f316b9""","""House Redwyne ""","""/wiki/House_Redwyne"""
"""d2c2c9bb-efdd-4f38-9c99-04cb06c955c0""","""House Karstark""","""/wiki/House_Karstark"""
"""f8137bd4-d58f-4ec1-baee-208bcd4854be""","""House Trant""","""/wiki/House_Trant"""
"""56348f87-a667-4fcd-a9ab-79a4ada7ee0f""","""House Royce""","""/wiki/House_Royce"""
"""284411f4-8143-4222-b866-80d4cc662cc2""","""House Targaryen""","""/wiki/House_Targaryen"""
"""0ec26fba-934b-4e0c-874b-7a3cc9bbe571""","""House Whent""","""/wiki/House_Whent"""
"""a330d62b-a59e-4e1d-b854-2d1b27ed4228""","""House Hightower""","""/wiki/House_Hightower"""
"""f70ccfc5-b397-4b4b-b515-b1dea6918623""","""House Yarwyck""","""/wiki/House_Yarwyck"""
"""fd9da8fa-a076-4d18-a222-392f341cb449""","""House Tyrell""","""/wiki/House_Tyrell"""
"""7bcf160d-e817-49f0-b4b2-7b93ea958eea""","""House Lefford""","""/wiki/House_Lefford"""
"""957d7766-be3e-4fbc-96df-f554c8ed694e""","""House Thorne""","""/wiki/House_Thorne"""
"""7d2220ce-fd6b-496a-bba7-b52fc3a8a045""","""House Lynderly""","""/wiki/House_Lynderly"""
"""1b95a538-98f3-4d11-8e3a-665b5cd2e65b""","""House Baratheon""","""/wiki/House_Baratheon"""
"""b66084d8-c23d-4bcc-815b-160d20d3da7e""","""House Durrandon""","""/wiki/House_Durrandon"""
"""e0d24cf6-5c32-4393-8849-2bda017dae25""","""House of Loraq""","""/wiki/House_of_Loraq"""
"""576cf127-286d-4c66-9cdf-5a1af1999edf""","""House Stokeworth""","""/wiki/House_Stokeworth"""
"""62531ffd-6ec2-451b-be23-347ab3db783a""","""House Manderly""","""/wiki/House_Manderly"""
"""f0f5fc86-dab9-44be-8693-f2b30a50f985""","""House Tarly""","""/wiki/House_Tarly"""
"""80d81d34-b633-4c0f-a624-dc072ce63542""","""House Lannister of Lannisport""","""/wiki/House_Lannister_of_Lannisport"""
"""a16056d0-ac7f-4ff5-a39d-a6fd828f0032""","""House Florent""","""/wiki/House_Florent"""
